,Price,Total_Sqft,Location,BHK,Price_Per_Sqft
4526,12800000,1164,Dum Dum,3,10996
4529,10100000,1150,Dum Dum,2,8782
4533,8176000,1455,Dum Dum,3,5619
4536,11000000,1441,Dum Dum,3,7633
4537,2032000,1035,Durgapur,2,1963
4538,9148000,1047,Durgapur,2,8737
4539,4557000,1204,Durgapur,2,3784
4540,3960000,1194,Durgapur,2,3316
4541,8043000,1357,Durgapur,3,5927
4542,6094000,1565,Durgapur,3,3893
4543,3400000,1565,Durgapur,3,2172
4544,5500000,1357,Durgapur,3,4053
4545,5800000,900,Dwarka Mor,3,6444
4546,5000000,1000,Dwarka Mor,3,5000
4547,5800000,900,Dwarka Mor,3,6444
4548,5000000,1000,Dwarka Mor,3,5000
4549,5500000,1000,Dwarka Mor,3,5500
4551,8500000,1200,Dwarka Mor,4,7083
4552,4999000,950,Dwarka Mor,3,5262
4553,5499000,900,Dwarka Mor,3,6110
4556,5200000,1000,Dwarka Mor,3,5200
4557,6500000,1000,Dwarka Mor,3,6500
4559,5499000,900,Dwarka Mor,3,6110
4561,6000000,990,Dwarka Mor,3,6060
4562,5499000,900,Dwarka Mor,3,6110
4564,5999000,990,Dwarka Mor,3,6059
4565,5499000,900,Dwarka Mor,3,6110
4567,6000000,990,Dwarka Mor,3,6060
4570,17000000,1800,Dwarka Mor,3,9444
4571,16500000,1800,Dwarka Mor,3,9166
4572,7000000,1200,Dwarka Mor,4,5833
4573,2000000,500,Dwarka Mor,1,4000
4574,7500000,1300,Dwarka Mor,4,5769
4575,7000000,1200,Dwarka Mor,4,5833
4576,5500000,1050,Dwarka Mor,3,5238
4579,4000000,750,Dwarka Mor,2,5333
4583,7500000,1300,Dwarka Mor,4,5769
4584,7000000,1200,Dwarka Mor,4,5833
4585,5500000,1050,Dwarka Mor,3,5238
4586,2000000,500,Dwarka Mor,1,4000
4588,4000000,750,Dwarka Mor,2,5333
4590,7500000,1300,Dwarka Mor,4,5769
4591,7000000,1200,Dwarka Mor,4,5833
4592,5500000,1050,Dwarka Mor,3,5238
4594,4000000,750,Dwarka Mor,2,5333
4597,6200000,1100,Dwarka Mor,3,5636
4598,6500000,1200,Dwarka Mor,4,5416
4603,7000000,1200,Dwarka Mor,3,5833
4604,7000000,1080,Dwarka Mor,3,6481
4605,10000000,1485,Dwarka Mor,4,6734
4606,3500000,600,Dwarka Mor,2,5833
4607,2300000,480,Dwarka Mor,1,4791
4608,4799000,900,Dwarka Mor,3,5332
4609,3500000,630,Dwarka Mor,2,5555
4610,6500000,1080,Dwarka Mor,3,6018
4611,5200000,990,Dwarka Mor,3,5252
4614,5999000,990,Dwarka Mor,3,6059
4618,5200000,900,Dwarka Mor,3,5777
4619,6000000,1200,Dwarka Mor,3,5000
4621,5200000,900,Dwarka Mor,3,5777
4622,6500000,1200,Dwarka Mor,4,5416
4623,6000000,1200,Dwarka Mor,3,5000
4635,7200000,900,Dwarka Mor,3,8000
4637,4799000,900,Dwarka Mor,3,5332
4638,4999000,950,Dwarka Mor,3,5262
4640,13200000,1350,Dwarka Mor,3,9777
4644,5800000,900,Dwarka Mor,3,6444
4647,6900000,1250,Dwarka Mor,3,5520
4648,5500000,1050,Dwarka Mor,3,5238
4654,4500000,900,Dwarka Mor,3,5000
4655,5800000,900,Dwarka Mor,3,6444
4660,5200000,1000,Dwarka Mor,3,5200
4661,5000000,1000,Dwarka Mor,3,5000
4662,4500000,900,Dwarka Mor,3,5000
4663,6000000,1050,Dwarka Mor,3,5714
4664,6500000,1100,Dwarka Mor,3,5909
4666,2000000,450,Dwarka Mor,1,4444
4670,10000000,630,Dwarka Mor,2,15873
4672,6500000,1050,Dwarka Mor,3,6190
4677,3000000,500,Dwarka Mor,1,6000
4679,3500000,650,Dwarka Mor,2,5384
4683,3000000,500,Dwarka Mor,1,6000
4685,3500000,650,Dwarka Mor,2,5384
4689,2200000,700,Dwarka Mor,1,3142
4690,9200000,1647,Dwarka Mor,2,5585
4691,11500000,1200,Dwarka Mor,3,9583
4692,13200000,1550,Dwarka Mor,3,8516
4694,5000000,648,Dwarka Mor,2,7716
4697,16000000,1550,Dwarka Mor,3,10322
4698,16000000,1750,Dwarka Mor,3,9142
4699,20000000,1700,Dwarka Mor,2,11764
4700,16000000,1750,Dwarka Mor,3,9142
4704,2700000,500,Dwarka Mor,1,5400
4706,4200000,750,Dwarka Mor,2,5600
4709,5000000,500,Dwarka Mor,1,10000
4710,4000000,750,Dwarka Mor,2,5333
4713,5000000,990,Dwarka Mor,3,5050
4717,16000000,2100,Dwarka Mor,2,7619
4718,16000000,1700,Dwarka Mor,2,9411
4724,14000000,1957,Dwarka More,3,7153
4725,16500000,1888,Dwarka More,3,8739
4726,20000000,1800,Dwarka More,3,11111
4728,21000000,1700,Dwarka More,3,12352
4729,16399999,1050,Dwarka More,3,15619
4730,17800000,1255,Dwarka More,3,14183
4731,19500000,1999,Dwarka More,3,9754
4733,15000000,1100,Dwarka More,3,13636
4734,17000000,1200,Dwarka More,3,14166
4735,17000000,1440,Dwarka More,3,11805
4736,21800000,1500,Dwarka More,3,14533
4738,17800000,1255,Dwarka More,3,14183
4739,19500000,1999,Dwarka More,3,9754
4741,15000000,1100,Dwarka More,3,13636
4742,17000000,1200,Dwarka More,3,14166
4743,17000000,1440,Dwarka More,3,11805
4744,21800000,1500,Dwarka More,3,14533
4747,22500000,1600,Dwarka More,3,14062
4749,16000000,2555,Dwarka More,3,6262
4750,22300000,1850,Dwarka More,3,12054
4752,17000000,2380,Dwarka More,3,7142
4753,22500000,2305,Dwarka More,3,9761
4754,22500000,2450,Dwarka More,3,9183
4755,17500000,2070,Dwarka More,3,8454
4756,19500000,1750,Dwarka More,3,11142
4759,17000000,1160,Dwarka More,2,14655
4760,2450000,6900,E M Bypass,6,355
4762,5500000,1350,E M Bypass,3,4074
4772,3200000,2393,E M Bypass,3,1337
4773,3300000,890,E M Bypass,2,3707
4776,7800000,1099,E M Bypass,3,7097
4777,13000000,3528,E M Bypass,4,3684
4784,2400000,1300,E M Bypass,3,1846
4785,5943000,1840,E M Bypass,3,3229
4787,2617000,1833,E M Bypass,3,1427
4788,8043000,1954,E M Bypass,3,4116
4792,8200000,1150,East Marredpally,2,7130
4793,7200000,1060,East Marredpally,2,6792
4794,7000000,990,East Marredpally,2,7070
4795,6900000,987,East Marredpally,2,6990
4796,8599000,1275,East Marredpally,2,6744
4799,7200000,1060,East Marredpally,2,6792
4801,5889000,906,East Tambaram,2,6500
4802,6123000,942,East Tambaram,2,6500
4803,6552000,1008,East Tambaram,2,6500
4804,7780000,1197,East Tambaram,3,6499
4805,6584000,1013,East Tambaram,2,6499
4806,7163000,1102,East Tambaram,3,6500
4807,5934000,913,East Tambaram,2,6499
4808,5712000,952,East Tambaram,2,6000
4809,4776000,796,East Tambaram,2,6000
4811,5580000,930,East Tambaram,2,6000
4812,5382000,897,East Tambaram,2,6000
4813,4500000,954,East Tambaram,2,4716
4815,4999000,765,East Tambaram,2,6534
4816,4999000,819,East Tambaram,2,6103
4817,28000000,1970,Egmore,3,14213
4818,24300000,1523,Egmore,3,15955
4819,25500000,1594,Egmore,3,15997
4820,26500000,1651,Egmore,3,16050
4821,26000000,1631,Egmore,3,15941
4822,26500000,1636,Egmore,3,16198
4823,26500000,1651,Egmore,3,16050
4824,26000000,1631,Egmore,3,15941
4825,26500000,1636,Egmore,3,16198
4826,26500000,1651,Egmore,3,16050
4827,26000000,1631,Egmore,3,15941
4828,31000000,1704,Egmore,2,18192
4831,18500000,1415,Egmore,3,13074
4833,24900000,1325,Egmore,2,18792
4834,24400000,1341,Egmore,3,18195
4835,10000000,1526,Egmore,3,6553
4836,7113000,1263,Egmore,3,5631
4837,7200000,1526,Egmore,3,4718
4838,3506000,660,Electronic City Phase 1,1,5312
4839,3506000,660,Electronic City Phase 1,1,5312
4840,3506000,660,Electronic City Phase 1,1,5312
4843,3506000,660,Electronic City Phase 1,1,5312
4844,6250000,1120,Electronic City Phase 1,2,5580
4845,6250000,1120,Electronic City Phase 1,2,5580
4846,3797999,715,Electronic City Phase 1,1,5311
4847,3797999,715,Electronic City Phase 1,1,5311
4848,5034000,910,Electronic City Phase 1,2,5531
4849,5034000,910,Electronic City Phase 1,2,5531
4850,7897000,1430,Electronic City Phase 1,3,5522
4851,7897000,1430,Electronic City Phase 1,3,5522
4852,5327000,965,Electronic City Phase 1,2,5520
4853,5327000,965,Electronic City Phase 1,2,5520
4854,8269000,1500,Electronic City Phase 1,3,5512
4855,8269000,1500,Electronic City Phase 1,3,5512
4856,5958000,1065,Electronic City Phase 1,2,5594
4857,5958000,1065,Electronic City Phase 1,2,5594
4875,2253000,644,Electronic City Phase 1,1,3498
4885,2318000,644,Electronic City Phase 1,1,3599
4887,2254000,644,Electronic City Phase 1,1,3500
4906,8000000,1265,Electronic City Phase 1,2,6324
4907,9700000,1555,Electronic City Phase 1,3,6237
4908,9300000,1482,Electronic City Phase 1,3,6275
4909,9800000,1565,Electronic City Phase 1,3,6261
4910,7900000,1255,Electronic City Phase 1,2,6294
4911,6400000,1145,Electronic City Phase 1,2,5589
4912,8200000,1600,Electronic City Phase 1,3,5125
4914,5921000,690,Electronic City Phase 1,1,8581
4915,7331000,1150,Electronic City Phase 1,2,6374
4917,6015000,1160,Electronic City Phase 1,2,5185
4920,5921000,920,Electronic City Phase 1,2,6435
4922,6015000,1060,Electronic City Phase 1,2,5674
4924,6600000,1070,Electronic City Phase 1,2,6168
4926,5921000,920,Electronic City Phase 1,2,6435
4928,6015000,1060,Electronic City Phase 1,2,5674
4930,6950000,1070,Electronic City Phase 1,2,6495
4933,6000000,1030,Electronic City Phase 1,2,5825
4934,8081999,1030,Electronic City Phase 1,2,7846
4935,7731999,1135,Electronic City Phase 1,2,6812
4936,8400000,1131,Electronic City Phase 1,2,7427
4940,8500000,910,Electronic City Phase 1,2,9340
4946,5698000,965,Electronic City Phase 1,2,5904
4950,6743000,1420,Electronic City Phase 1,3,4748
4952,2500000,660,Electronic City Phase 1,1,3787
4953,3046000,715,Electronic City Phase 1,1,4260
4960,7840000,1655,Electronic City Phase 1,3,4737
4962,5580000,1025,Electronic City Phase 1,2,5443
4963,11000000,1500,Electronic City Phase 1,3,7333
4964,8039000,1720,Electronic City Phase 1,3,4673
4966,10800000,1217,Electronic City Phase 1,2,8874
4967,7498999,875,Electronic City Phase 1,2,8570
4968,8634000,1250,Electronic City Phase 1,2,6907
4970,7797000,1275,Electronic City Phase 1,2,6115
4971,9091000,1310,Electronic City Phase 1,2,6939
4972,6151000,1404,Electronic City Phase 2,2,4381
4974,8218000,1505,Electronic City Phase 2,3,5460
4976,4362000,1175,Electronic City Phase 2,2,3712
4978,4565000,1233,Electronic City Phase 2,2,3702
4979,4000000,1100,Electronic City Phase 2,2,3636
4981,4485000,1210,Electronic City Phase 2,2,3706
4982,4011999,1075,Electronic City Phase 2,2,3732
4983,4520000,1220,Electronic City Phase 2,2,3704
4984,4292000,1155,Electronic City Phase 2,2,3716
4988,4222000,1135,Electronic City Phase 2,2,3719
4989,3995000,1070,Electronic City Phase 2,2,3733
4990,8218000,1505,Electronic City Phase 2,3,5460
4991,8370999,1535,Electronic City Phase 2,3,5453
4992,8039000,1470,Electronic City Phase 2,3,5468
4993,5868000,1045,Electronic City Phase 2,2,5615
4994,6021000,1075,Electronic City Phase 2,2,5600
4995,7194000,1290,Electronic City Phase 2,2,5576
4996,7581000,1380,Electronic City Phase 2,2,5493
4997,8137000,1465,Electronic City Phase 2,3,5554
5002,5739000,1300,Electronic City Phase 2,2,4414
5004,23100000,3245,Electronic City Phase 2,4,7118
5005,13700000,2150,Electronic City Phase 2,4,6372
5006,11000000,1590,Electronic City Phase 2,3,6918
5007,10300000,1500,Electronic City Phase 2,3,6866
5008,9500000,1415,Electronic City Phase 2,2,6713
5009,3897999,1068,Electronic City Phase 2,2,3649
5010,2876000,788,Electronic City Phase 2,2,3649
5011,2620000,718,Electronic City Phase 2,2,3649
5012,3668000,1005,Electronic City Phase 2,2,3649
5013,2876000,788,Electronic City Phase 2,2,3649
5014,2620000,718,Electronic City Phase 2,2,3649
5015,3668000,1005,Electronic City Phase 2,2,3649
5017,8218000,1505,Electronic City Phase 2,3,5460
5018,8370999,1535,Electronic City Phase 2,3,5453
5019,8039000,1470,Electronic City Phase 2,3,5468
5020,5868000,1045,Electronic City Phase 2,2,5615
5021,6021000,1075,Electronic City Phase 2,2,5600
5022,7194000,1290,Electronic City Phase 2,2,5576
5023,7581000,1380,Electronic City Phase 2,2,5493
5024,8137000,1465,Electronic City Phase 2,3,5554
5025,3420000,1140,Electronic City Phase 2,2,3000
5026,2820000,940,Electronic City Phase 2,2,3000
5028,3479999,1160,Electronic City Phase 2,2,2999
5029,2880000,960,Electronic City Phase 2,2,3000
5030,3180000,1060,Electronic City Phase 2,2,3000
5032,8370999,1535,Electronic City Phase 2,3,5453
5033,8039000,1470,Electronic City Phase 2,3,5468
5034,5868000,1045,Electronic City Phase 2,2,5615
5035,6021000,1075,Electronic City Phase 2,2,5600
5036,7194000,1290,Electronic City Phase 2,2,5576
5037,7581000,1380,Electronic City Phase 2,2,5493
5038,8137000,1465,Electronic City Phase 2,3,5554
5039,8700000,1535,Electronic City Phase 2,3,5667
5040,6400000,1110,Electronic City Phase 2,2,5765
5041,7959999,1290,Electronic City Phase 2,2,6170
5042,7975000,1505,Electronic City Phase 2,3,5299
5043,7625000,1535,Electronic City Phase 2,3,4967
5045,6884999,1075,Electronic City Phase 2,2,6404
5046,6331000,1290,Electronic City Phase 2,3,4907
5047,6200000,1000,Electronic City Phase 2,1,6200
5048,4000000,1075,Electronic City Phase 2,2,3720
5049,6200000,1075,Electronic City Phase 2,2,5767
5050,6200000,1075,Electronic City Phase 2,2,5767
5051,7400000,1075,Electronic City Phase 2,2,6883
5053,2400000,1045,Electronic City Phase 2,2,2296
5055,10600000,1650,Electronic City Phase 2,3,6424
5056,8700000,1650,Electronic City Phase 2,3,5272
5057,10600000,1605,Electronic City Phase 2,3,6604
5058,12400000,1640,Electronic City Phase 2,3,7560
5059,10400000,1940,Electronic City Phase 2,3,5360
5060,10300000,1610,Electronic City Phase 2,3,6397
5061,14200000,1590,Electronic City Phase 2,3,8930
5064,11500000,1650,Electronic City Phase 2,3,6969
5065,10900000,1790,Electronic City Phase 2,3,6089
5067,3186000,1035,Electronic City Phase 2,2,3078
5068,8370999,1505,Electronic City Phase 2,3,5562
5069,8039000,1535,Electronic City Phase 2,3,5237
5071,6021000,1045,Electronic City Phase 2,2,5761
5072,7194000,1075,Electronic City Phase 2,2,6692
5073,7581000,1290,Electronic City Phase 2,2,5876
5074,8137000,1380,Electronic City Phase 2,2,5896
5075,7500000,1465,Electronic City Phase 2,3,5119
5076,10300000,1590,Electronic City Phase 2,3,6477
5077,10400000,1590,Electronic City Phase 2,3,6540
5078,10600000,1605,Electronic City Phase 2,3,6604
5079,10400000,1640,Electronic City Phase 2,3,6341
5080,12400000,1605,Electronic City Phase 2,3,7725
5081,10600000,1940,Electronic City Phase 2,3,5463
5082,12400000,1640,Electronic City Phase 2,3,7560
5083,10400000,1940,Electronic City Phase 2,3,5360
5084,10400000,1610,Electronic City Phase 2,3,6459
5085,11500000,1610,Electronic City Phase 2,3,7142
5086,11500000,1790,Electronic City Phase 2,3,6424
5087,14200000,1790,Electronic City Phase 2,3,7932
5088,14200000,2225,Electronic City Phase 2,4,6382
5090,9117000,1395,Electronic City Phase 2,3,6535
5095,9579000,1501,Electronic City Phase 2,3,6381
5096,17700000,3245,Electronic City Phase 2,4,5454
5101,11299999,1790,Electronic City Phase 2,3,6312
5102,10900000,1700,Electronic City Phase 2,3,6411
5105,15000000,1940,Electronic City Phase 2,3,7731
5106,9567000,1790,Electronic City Phase 2,3,5344
5112,8134000,1595,Electronic City Phase 2,3,5099
5113,6145000,1205,Electronic City Phase 2,2,5099
5114,8568000,1595,Electronic City Phase 2,3,5371
5115,15000000,1680,Electronic City Phase 2,3,8928
5117,15900000,2950,Electronic City Phase 2,4,5389
5118,15800000,2870,Electronic City Phase 2,4,5505
5126,11299999,1790,Electronic City Phase 2,3,6312
5127,10900000,1700,Electronic City Phase 2,3,6411
5130,15000000,1940,Electronic City Phase 2,3,7731
5131,9567000,1790,Electronic City Phase 2,3,5344
5137,8134000,1595,Electronic City Phase 2,3,5099
5138,6145000,1205,Electronic City Phase 2,2,5099
5139,8568000,1595,Electronic City Phase 2,3,5371
5140,8415000,1205,Electronic City Phase 2,2,6983
5141,8364000,1680,Electronic City Phase 2,3,4978
5142,8211000,1650,Electronic City Phase 2,3,4976
5143,8184999,1640,Electronic City Phase 2,3,4990
5144,8109000,1610,Electronic City Phase 2,3,5036
5147,8568000,1415,Electronic City Phase 2,3,6055
5148,8415000,1180,Electronic City Phase 2,2,7131
5149,8364000,1680,Electronic City Phase 2,3,4978
5150,8211000,1650,Electronic City Phase 2,3,4976
5151,8184999,1640,Electronic City Phase 2,3,4990
5152,8109000,1610,Electronic City Phase 2,3,5036
5155,7114000,1415,Electronic City Phase 2,3,5027
5156,7309999,1395,Electronic City Phase 2,3,5240
5160,3213000,1180,Electronic City Phase 2,2,2722
5161,5916000,1160,Electronic City Phase 2,2,5100
5162,3213000,630,Electronic City Phase 2,1,5100
5163,4988000,1160,Electronic City Phase 2,2,4300
5164,2709000,630,Electronic City Phase 2,1,4300
5165,7675000,1160,Electronic City Phase 2,2,6616
5166,22400000,3245,Electronic City Phase 2,4,6902
5173,6069000,1395,Electronic City Phase 2,2,4350
5174,8550000,1395,Electronic City Phase 2,2,6129
5175,4600000,1190,Electronic City Phase 2,2,3865
5176,2848000,1075,Electronic City Phase 2,2,2649
5180,4363000,1140,Electronic City Phase 2,2,3827
5181,8500000,940,Electronic City Phase 2,2,9042
5182,9595000,1320,Electronic City Phase 2,3,7268
5183,4772000,1160,Electronic City Phase 2,2,4113
5184,7648999,1060,Electronic City Phase 2,2,7216
5186,13799999,1670,Electronic City Phase 2,3,8263
5187,10700000,1630,Electronic City Phase 2,3,6564
5188,7487000,1230,Electronic City Phase 2,2,6086
5190,4000000,1005,Electronics City,2,3980
5191,4000000,1005,Electronics City,2,3980
5192,5050000,1260,Electronics City,2,4007
5193,3735000,920,Electronics City,1,4059
5194,3735000,920,Electronics City,1,4059
5196,3734000,920,Electronics City,2,4058
5197,4099000,1015,Electronics City,2,4038
5198,4900000,1000,Electronics City,2,4900
5199,3150000,1550,Elgin,3,2032
5200,3200000,780,Elgin,2,4102
5201,2325000,1100,Elgin,2,2113
5202,3629999,2410,Elgin,4,1506
5203,7500000,2410,Elgin,4,3112
5204,14200000,4320,Elgin,4,3287
5206,9800000,1520,Gachibowli,2,6447
5208,9800000,1520,Gachibowli,2,6447
5209,17700000,2729,Gachibowli,4,6485
5210,3148000,1050,Gachibowli,2,2998
5212,4748000,1250,Gachibowli,2,3798
5213,4748000,1250,Gachibowli,2,3798
5216,7802000,1815,Gachibowli,2,4298
5217,5373000,1250,Gachibowli,2,4298
5218,12500000,1699,Gachibowli,4,7357
5219,66400000,6718,Gachibowli,5,9883
5220,5500000,850,Gachibowli,2,6470
5221,9500000,1035,Gachibowli,2,9178
5222,5500000,850,Gachibowli,2,6470
5223,12500000,1717,Gachibowli,2,7280
5224,12500000,1717,Gachibowli,2,7280
5225,32500000,3448,Gachibowli,3,9425
5226,10500000,1430,Gachibowli,3,7342
5227,19400000,2848,Gachibowli,4,6811
5228,9908000,1492,Gachibowli,2,6640
5229,8126000,1283,Gachibowli,2,6333
5230,9110000,1410,Gachibowli,2,6460
5231,34000000,3180,Gachibowli,3,10691
5232,8000000,990,Gachibowli,1,8080
5233,8600000,1538,Gachibowli,3,5591
5234,14600000,1953,Gachibowli,2,7475
5235,26000000,3434,Gachibowli,4,7571
5236,13700000,1742,Gachibowli,3,7864
5237,17600000,1993,Gachibowli,3,8830
5238,8800000,1260,Gachibowli,3,6984
5239,3148000,1050,Gachibowli,2,2998
5241,4748000,1250,Gachibowli,2,3798
5242,19300000,2800,Gachibowli,3,6892
5243,16500000,2405,Gachibowli,3,6860
5244,40700000,4799,Gachibowli,4,8480
5245,45000000,4152,Gachibowli,5,10838
5247,45000000,4152,Gachibowli,5,10838
5248,35200000,4146,Gachibowli,5,8490
5249,35200000,4146,Gachibowli,5,8490
5250,35200000,4146,Gachibowli,5,8490
5251,35200000,4146,Gachibowli,5,8490
5253,13500000,1728,Gachibowli,3,7812
5255,16000000,1662,Gachibowli,3,9626
5256,35200000,4146,Gachibowli,5,8490
5257,35200000,4146,Gachibowli,5,8490
5258,35200000,4146,Gachibowli,5,8490
5259,35200000,4146,Gachibowli,5,8490
5261,27000000,3448,Gachibowli,4,7830
5262,27000000,3448,Gachibowli,4,7830
5263,11500000,1275,Gachibowli,2,9019
5264,26800000,3355,Gachibowli,4,7988
5265,33100000,4146,Gachibowli,5,7983
5266,27500000,3448,Gachibowli,4,7975
5267,13700000,1742,Gachibowli,3,7864
5268,16500000,2750,Gachibowli,3,6000
5269,5100000,1325,Gachibowli,2,3849
5270,9500000,1120,Gachibowli,2,8482
5271,10500000,1800,Gachibowli,3,5833
5272,10000000,1700,Gachibowli,3,5882
5273,19500000,2160,Gachibowli,3,9027
5275,3900000,1150,Gachibowli,2,3391
5276,3900000,1150,Gachibowli,2,3391
5277,3900000,1150,Gachibowli,2,3391
5278,26500000,3434,Gachibowli,4,7716
5279,32000000,3180,Gachibowli,3,10062
5281,37500000,3325,Gachibowli,3,11278
5283,20000000,2690,Gachibowli,3,7434
5285,13500000,1945,Gachibowli,3,6940
5286,14600000,1945,Gachibowli,3,7506
5287,4542000,1010,Gajularamaram,2,4497
5288,6931000,1555,Gajularamaram,3,4457
5289,4542000,1010,Gajularamaram,2,4497
5290,6931000,1555,Gajularamaram,3,4457
5291,3300000,800,Gajularamaram,2,4125
5292,3300000,800,Gajularamaram,2,4125
5293,3300000,800,Gajularamaram,2,4125
5294,3300000,800,Gajularamaram,2,4125
5295,6931000,1555,Gajularamaram,3,4457
5296,5256000,1180,Gajularamaram,2,4454
5297,6931000,1555,Gajularamaram,3,4457
5299,4710000,1050,Gajularamaram,2,4485
5300,4710000,1050,Gajularamaram,2,4485
5301,6931000,1555,Gajularamaram,3,4457
5302,4284000,1020,Gajularamaram,1,4200
5303,4600000,1050,Gajularamaram,2,4380
5304,4710000,1050,Gajularamaram,2,4485
5305,4710000,1050,Gajularamaram,2,4485
5307,4600000,1050,Gajularamaram,2,4380
5308,4710000,1050,Gajularamaram,2,4485
5310,4500000,1050,Gajularamaram,2,4285
5312,4600000,1050,Gajularamaram,2,4380
5314,4600000,1050,Gajularamaram,2,4380
5317,4500000,1050,Gajularamaram,2,4285
5319,4600000,1050,Gajularamaram,2,4380
5320,4600000,1050,Gajularamaram,2,4380
5322,4542000,1010,Gajularamaram,2,4497
5323,6931000,1555,Gajularamaram,3,4457
5324,5256000,1180,Gajularamaram,2,4454
5325,6931000,1555,Gajularamaram,3,4457
5326,8000000,1620,Gajularamaram,3,4938
5327,8098000,1620,Gajulramaram Kukatpally,3,4998
5328,5623000,1125,Gajulramaram Kukatpally,2,4998
5329,6838000,1368,Gajulramaram Kukatpally,3,4998
5330,8800000,1620,Gajulramaram Kukatpally,3,5432
5331,8259999,1620,Gajulramaram Kukatpally,3,5098
5332,2350000,630,Garia,2,3730
5336,4500000,670,Garia,2,6716
5337,5226000,650,Garia,2,8040
5339,5946000,1030,Garia,2,5772
5340,13500000,1383,Garia,3,9761
5341,10500000,1296,Garia,3,8101
5342,4725000,800,Garia,2,5906
5344,3600000,1000,Garia,2,3600
5345,9300000,1203,Garia,3,7730
5346,3300000,1165,Garia,2,2832
5347,4400000,1165,Garia,2,3776
5348,3800000,780,Garia,2,4871
5349,6500000,675,Garia,2,9629
5350,2100000,675,Garia,2,3111
5351,4200000,892,Garia,2,4708
5353,2300000,770,Garia,2,2987
5358,9310000,800,Garia,2,11637
5360,4200000,780,Garia,2,5384
5361,4400000,780,Garia,2,5641
5362,2913000,841,Garia,2,3463
5363,4200000,720,Garia,2,5833
5365,8500000,1100,Garia,3,7727
5366,2500000,740,Garia,2,3378
5367,2100000,860,Garia,2,2441
5368,3400000,890,Garia,2,3820
5369,4700000,742,Garia,2,6334
5370,5500000,742,Garia,2,7412
5371,3900000,985,Garia,2,3959
5372,3500000,985,Garia,2,3553
5373,3300000,750,Garia,2,4400
5374,4095000,800,Garia,2,5118
5376,4752000,1062,Garia,2,4474
5378,6000000,860,Garia,2,6976
5379,2400000,860,Garia,2,2790
5383,5500000,891,Garia,2,6172
5385,5050000,1030,Garia,2,4902
5386,7800000,983,Garia,2,7934
5391,2400000,900,Garia,2,2666
5392,8600000,720,Garia,2,11944
5394,2600000,650,Garia,2,4000
5395,3600000,1165,Garia,2,3090
5396,7000000,904,Garia,2,7743
5397,2399000,891,Garia,2,2692
5398,3500000,950,Garia,2,3684
5399,2999000,950,Garia,2,3156
5400,2500000,853,Garia,2,2930
5404,3615999,1069,Garia,2,3382
5405,2399000,891,Garia,2,2692
5406,3500000,950,Garia,2,3684
5407,2999000,950,Garia,2,3156
5408,3500000,853,Garia,2,4103
5409,2337000,700,Garia,2,3338
5410,4000000,850,Garia,2,4705
5411,4000000,1000,Garia,2,4000
5412,3650000,930,Garia,2,3924
5413,9400000,982,Garia,2,9572
5414,4100000,1000,Garia,2,4100
5417,12000000,1180,Garia,3,10169
5420,6700000,840,Garia,2,7976
5421,5150000,870,Garia,2,5919
5424,8000000,963,Garia,2,8307
5425,3500000,963,Garia,2,3634
5426,8200000,1000,Garia,3,8200
5428,7740000,1360,Garia,3,5691
5429,9495000,1045,Garia,2,9086
5430,8528000,1397,Garia,3,6104
5432,6216000,1000,Garia,3,6216
5434,3036000,1034,Garia,2,2936
5435,7000000,1115,Garia,2,6278
5436,3500000,1300,Garia,2,2692
5437,9727000,930,Garia,2,10459
5444,4873000,1027,Garia,2,4744
5445,2795000,774,Garia,2,3611
5446,3046000,950,Garia,2,3206
5448,7800000,1020,Garia,2,7647
5450,3105000,1020,Garia,2,3044
5454,3252000,901,Garia,2,3609
5456,6500000,901,Garia,2,7214
5458,7500000,1440,Garia,4,5208
5461,3835000,800,Garia,2,4793
5462,2300000,851,Garia,2,2702
5463,4500000,1031,Garia,2,4364
5465,3329999,675,Garia,1,4933
5466,5663000,1000,Garia,2,5663
5469,2800000,850,Garia,2,3294
5471,3835000,800,Garia,2,4793
5472,9700000,1031,Garia,2,9408
5473,3300000,983,Garia,2,3357
5475,6500000,1110,Garia,3,5855
5476,12000000,1750,Garia,3,6857
5477,3300000,930,Garia,2,3548
5479,4300000,685,Garia,2,6277
5480,4499000,943,Garia,2,4770
5482,3300000,1010,Garia,2,3267
5483,2300000,836,Garia,2,2751
5484,2400000,851,Garia,2,2820
5485,2128000,675,Garia,2,3152
5486,2165000,750,Garia,2,2886
5489,3835000,800,Garia,2,4793
5490,7500000,851,Garia,2,8813
5491,10500000,1031,Garia,2,10184
5492,3492000,983,Garia,2,3552
5497,3619000,1055,Garia,1,3430
5500,5400000,945,Garia,2,5714
5504,2795000,945,Garia,2,2957
5509,3600000,1115,Garia,2,3228
5510,3414000,1115,Garia,2,3061
5516,5000000,1115,Garia,2,4484
5518,5000000,812,Garia,2,6157
5521,4571000,670,Garia,2,6822
5522,6450000,900,Garia,2,7166
5523,10700000,1115,Garia,2,9596
5524,11500000,1000,Garia,2,11500
5526,9500000,1060,Garia,3,8962
5527,2700000,950,Garia,2,2842
5528,2400000,770,Garia,2,3116
5529,2400000,700,Garia,2,3428
5532,9500000,820,Garia,2,11585
5533,9500000,810,Garia,2,11728
5534,4900000,867,Garia,2,5651
5536,4500000,892,Garia,2,5044
5538,5200000,1000,Garia,2,5200
